0 0 0 0 0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 0
z k k k k k 0 c c c a a a a c c c 0 v v v v v z
k k k k k k c c a a a a a a a a c c v v v v v v
k k k k k k c c a a a a a a a a c c v v v v v v
k k k k k k c c a a a a a a a a c c z v v v v v
k k k k k k c z z a a a a a a z z c z v v v v 0
0 k k k z k c c a a a a a a a a c c c c c c c 5
c c c c z c c c a z a a a a z a c c c c c c c 0
0 c c c c c c c c z c c c c z c c c b b b b b b
d d d d d c c c c c c c c c c c c z z b b b b b
d d d d d d d d c c m m m m m c c c b b b b b b
d d d d d d d d c c m m m m m c c c b b b b b b
d d d d d d d z z c m m m m m c c c b b b b z b
d d d d d d d d c c m m m m m c c c c c z c z 0
d d d d d d d d c c m m m m m c c c i i z i i 0
d d d d d d z d c c m m m m m c c i i i i i i i
0 c c c c c z c c c m m z m m c z z i i i i i i
2 c c c c c c c c c c z z c c c c i i i i i i i
0 c c c c c z c c h h z z h h c c c i i i i i 0
l l l l l l z c c h h h h h h c c c c c c c c 6
l l l l l l l c c h h h h h z z c z c c c c c 0
l l l l l l l c c h h h h h h c c z s s s s s s
l l l l l l l c c h h h h h h c c s s s s s s s
l l l l l l l c c h h h h h h c c s s s s s s s
z l l l l l 0 1 0 h h h h h h 0 c 0 s s s s s z
